,name,status,link,flag,abandon_date,notified_date,port,reported_by,abandon_year,notified_year
394,G.O America,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=285&p_search_id=211217142103,Marshall Islands,18 May 2017,3 July 2017,"Shanghai, China",ITF,2017,2017
395,G.S. Busan,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=100&p_search_id=211217142103,Panama,5 February 2009,3 August 2009,"Pusan, Korea",ITF,2009,2009
396,Gale Force,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=70&p_search_id=211217142103,U.S.A,13 August 2008,1 October 2008,"Ijmuiden, Netherlands",Govt. of United States,2008,2008
397,Gang Tong Hai 9,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=346&p_search_id=211217142103,Belize,23 April 2018,11 May 2018,"Incheon, Korea",ITF,2018,2018
398,Geminis,fishing vessel,seafarersbrowse.details?p_lang=en&p_abandonment_id=49&p_search_id=211217142103,Belize,2001,,Las Palmas (Spain),ITF,2001,
399,Geo Star,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=267&p_search_id=211217142103,Togo,2 February 2017,20 March 2017,CONSTANTA SOUTH AGIGEA,ITF,2017,2017
400,Glory 1,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=162&p_search_id=211217142103,Panama,30 June 2010,30 June 2010,"Visakhapatnam, India",ITF,2010,2010
401,Grandiosa,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=181&p_search_id=211217142103,Panama,March 2011,,Constanta Anchorage Area,ITF,2011,
402,Hellin (AB Success),resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=6&p_search_id=211217142103,Panama,2 July 2004,2 July 2004,Bangkok (Thailand),ITF,2004,2004
403,Henriette,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=257&p_search_id=211217142103,Dominica,9 January 2017,12 January 2017,"Marstal, Denmark",ITF,2017,2017
404,Hephaestus,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=333&p_search_id=211217142103,Togo,26 January 2018,20 February 2018,"Valetta, Malta",ITF,2018,2018
405,Ital RoRo,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=145&p_search_id=211217142103,Italy,17 October 2008,,Seyne S/Mer,Govt. of France,2008,
406,JSM,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=197&p_search_id=211217142103,Moldova,August 2013,18 September 2013,"Kiato, Greece",ITF,2013,2013
407,Jameela Star,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=139&p_search_id=211217142103,Syria,21 April 2010,22 April 2010,Pozzallo (Sicily),ITF,2010,2010
408,Jana,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=215&p_search_id=211217142103,Netherlands Antilles,11 October 2014,27 October 2014,"Argentia, Canada",ITF,2014,2014
409,Katerina,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=208&p_search_id=211217142103,Comoros,24 January 2014,6 February 2014,Cadiz / Spain,ITF,2014,2014
410,Kusva 1,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=198&p_search_id=211217142103,Cook Islands,19 August 2013,20 September 2013,"Constanta South, Romania",ITF,2013,2013
411,Kyodo Yarrow,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=81&p_search_id=211217142103,Panama,29 June 2009,9 July 2009,"Fujairah, United Arab Emirates",ITF,2009,2009
412,Lady Belinda,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=77&p_search_id=211217142103,Comoros,15 April 2009,28 April 2009,"Ho Chi Minh Port, Vietnam",ITF,2009,2009
413,Lady Mariam,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=133&p_search_id=211217142103,Cambodia,9 November 2009,22 December 2009,"Lavrio, Greece",Govt. of Greece,2009,2009
414,Lancelot V,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=227&p_search_id=211217142103,Panama,15 May 2015,9 June 2015,"Auckland, New Zealand",ITF,2015,2015
415,Leda,fishing vessel,seafarersbrowse.details?p_lang=en&p_abandonment_id=30&p_search_id=211217142103,Ukraine,3 September 2004,3 September 2004,Conakry (Guinea),ITF,2004,2004
416,Leonidas K,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=335&p_search_id=211217142103,Malta,12 March 2018,12 March 2018,Valletta Malta,ITF,2018,2018
417,Liberty Prrudencia,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=263&p_search_id=211217142103,Hong Kong,9 February 2017,9 February 2017,"Zhoushan anchorage, China",Other,2017,2017
418,Lis Weber,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=129&p_search_id=211217142103,St. Vincent & Grenadines,8 November 2009,13 January 2010,"Svendborg, Denmark",ITF,2009,2010
419,MALAVIYA TWENTY,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=259&p_search_id=211217142103,India,16 June 2016,30 June 2016,GREAT YARMOUTH,ITF,2016,2016
420,MGI One,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=329&p_search_id=211217142103,Liberia,10 August 2017,,"Perama, Greece",ITF,2017,
421,Mahika,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=336&p_search_id=211217142103,Panama,2 April 2018,2 April 2018,"Lome, Togo",ITF,2018,2018
422,Malakas,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=82&p_search_id=211217142103,Panama,15 March 2009,15 July 2009,Cochin,ITF,2009,2009
423,Malaviya Twenty,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=317&p_search_id=211217142103,India,23 August 2017,16 October 2017,"Great Yarmouth, United Kingdom",ITF,2017,2017
424,Mamola Champion,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=269&p_search_id=211217142103,Marshall Islands,10 March 2017,16 March 2017,POINTE NOIRE,ITF,2017,2017
425,Mamola Serenity,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=270&p_search_id=211217142103,Marshall Islands,10 March 2017,16 March 2017,CONGO,ITF,2017,2017
426,Marrakech,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=273&p_search_id=211217142103,Morocco,4 December 2012,,Sète,Govt. of France,2012,
427,Matterhorn,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=148&p_search_id=211217142103,Liberia,1 July 2009,,Brest,Govt. of France,2009,
428,Mawashi Al,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=38&p_search_id=211217142103,Kuwait,8 July 2005,8 July 2005,"Adelaide, Australia ",ITF,2005,2005
429,Melek N,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=159&p_search_id=211217142103,St. Vincent & Grenadines,September 2010,30 November 2010,"Alicante, Spain",ITF,2010,2010
430,Meugang I,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=55&p_search_id=211217142103,Panama,15 June 2006,,Santander (Spain),ITF,2006,
431,Mirach,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=117&p_search_id=211217142103,Panama,8 January 2009,30 November 2009,Istanbul,ITF,2009,2009
432,Miss Tiger,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=321&p_search_id=211217142103,Panama,23 December 2017,4 January 2018,Underway to Balbao Panama,ITF,2017,2018
433,Mona,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=266&p_search_id=211217142103,Comoros,7 March 2017,7 March 2017,"Sharjah anchorage, UAE",ITF,2017,2017
434,Most Sky,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=163&p_search_id=211217142103,Panama,8 November 2010,24 February 2010,Birkenhead. UK,ITF,2010,2010
435,Muezzinoglu,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=187&p_search_id=211217142103,Turkey,17 September 2012,September 2012,"Las Palmas, Anchorage area",ITF,2012,2012
436,NAJDIAH,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=239&p_search_id=211217142103,Panama,4 May 2016,17 May 2016,"At anchorage off Makulla, Yemen",ITF,2016,2016
437,Namisa,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=236&p_search_id=211217142103,Liberia,16 October 2015,2 November 2015,"Calabar anchorage, Nigeria",ITF,2015,2015
438,Natig Aliyev,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=334&p_search_id=211217142103,Malta,27 February 2018,,"Skagen anchorage, Denmark",ITF,2018,
439,Newlead Granadino,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=256&p_search_id=211217142103,Malta,20 September 2016,20 September 2016,"Baltimore MD, USA",ITF,2016,2016
440,Nikolay Meshkov,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=210&p_search_id=211217142103,Belize,10 March 2014,30 May 2014,"Constanta, Romania",ITF,2014,2014
441,Northwind,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=361&p_search_id=211217142103,Curacao(Kingdom of the Netherlands),19 October 2018,16 November 2018,Alang India,ITF,2018,2018
442,Numo,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=48&p_search_id=211217142103,Panama,22 September 2006,27 September 2006,"Aden, Yemen",ITF,2006,2006
443,OMG Gatchina,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=146&p_search_id=211217142103,Marshall Islands,17 March 2009,1 April 2009,La Rochelle,Govt. of France,2009,2009
444,Ocean Therese,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=85&p_search_id=211217142103,Panama,23 October 2009,,"Skagen, Denmark",ITF,2009,
445,Ocean Victory,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=244&p_search_id=211217142103,Malta,18 October 2016,27 October 2016,"Aveiro, Portugal",ITF,2016,2016
446,Orient Star,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=57&p_search_id=211217142103,Sierra Leone,20 November 2007,22 November 2007,"Aviles, Spain",ITF,2007,2007
447,Oriòn 1,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=26&p_search_id=211217142103,Nigeria,9 July 2004,9 July 2004,Ceuta (Spain),Govt. of Spain,2004,2004
448,Ormos,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=32&p_search_id=211217142103,"Korea, Democratic People's Republic of",27 January 2005,27 January 2005,Kakinada (India),ITF,2005,2005
449,Oro,resolved,seafarersbrowse.details?p_lang=en&p_abandonment_id=40&p_search_id=211217142103,Comoros,30 August 2005,30 August 2005,"Piraeus, Greece",ITF,2005,2005
